sympy,natural_language
"ForAll(u, f(z, b) == w)","For all u, f(z, b) equals w."
"Exists(c, (Implies((h(w) == z) | (S(w, c, b)), Equivalent(S(z, c), W(b)))) | (Equivalent(Implies(Q(b, c), h(w) == c), (U(v)) & (Q(c, a, u)))))","There exists an c such that If h(w) equals z or S of w and c and b, then S of z and c if and only if W of b or If Q of b and c, then h(w) equals c if and only if U of v and Q of c and a and u."
"Exists(x, Equivalent(f(y, z) == x, k(w) == w))","There exists an x such that f(y, z) equals x if and only if k(w) equals w."
"ForAll(y, Exists(a, ~(~(h(z, w) == y))))","For all y, There exists an a such that not (not (h(z, w) equals y))."
"(Implies(g(a) == c, T(z, u))) | ((g(z) == z) | (f(w) == z))","If g(a) equals c, then T of z and u or g(z) equals z or f(w) equals z."
"Exists(b, ForAll(w, Equivalent(U(u, b), k(c) == u)))","There exists an b such that For all w, U of u and b if and only if k(c) equals u."
"ForAll(w, ((g(z) == v) & (h(c) == y)) | (Implies(k(a) == y, h(a) == x)))","For all w, g(z) equals v and h(c) equals y or If k(a) equals y, then h(a) equals x."
"Exists(z, ~(U(z, c, x)))",There exists an z such that not (U of z and c and x).
"Exists(a, (~(~(g(c) == c))) | (~((f(u) == a) & (W(c)))))",There exists an a such that not (not (g(c) equals c)) or not (f(u) equals a and W of c).
"g(z, y) == c","g(z, y) equals c."
"Exists(y, k(a) == w)",There exists an y such that k(a) equals w.
"Exists(v, Exists(c, Implies(Equivalent(U(z, x, c), g(b, z) == z), ~(S(x)))))","There exists an v such that There exists an c such that If U of z and x and c if and only if g(b, z) equals z, then not (S of x)."
"Exists(a, U(x, w))",There exists an a such that U of x and w.
"Exists(w, (Implies((W(w, v)) | (V(y, a, v)), (f(w) == v) & (m(z, b) == w))) | (((V(w)) & (R(b))) & (~(U(w, a, v)))))","There exists an w such that If W of w and v or V of y and a and v, then f(w) equals v and m(z, b) equals w or V of w and R of b and not (U of w and a and v)."
"Exists(z, Equivalent(Implies(Equivalent(h(u, y) == x, m(c, y) == v), Implies(k(y) == z, g(y, w) == w)), Equivalent(Implies(S(y, u), W(x)), (k(y) == y) & (k(a, y) == z))))","There exists an z such that If h(u, y) equals x if and only if m(c, y) equals v, then If k(y) equals z, then g(y, w) equals w if and only if If S of y and u, then W of x if and only if k(y) equals y and k(a, y) equals z."
"Exists(z, Exists(u, Implies(P(y, z), g(w) == u)))","There exists an z such that There exists an u such that If P of y and z, then g(w) equals u."
"Exists(v, Equivalent(~(R(z, w, a)), Implies(Q(x), g(x, b) == c)))","There exists an v such that not (R of z and w and a) if and only if If Q of x, then g(x, b) equals c."
"ForAll(v, ~(~(Implies(k(w) == z, h(z, w) == c))))","For all v, not (not (If k(w) equals z, then h(z, w) equals c))."
"Implies(~(Equivalent(m(u, z) == w, W(c))), Implies(Implies(V(c), g(w) == x), (h(y) == a) | (h(w, x) == a)))","If not (m(u, z) equals w if and only if W of c), then If If V of c, then g(w) equals x, then h(y) equals a or h(w, x) equals a."
"(((Q(a)) & (h(z, u) == c)) | (~(U(b, c, y)))) & ((Equivalent(T(w, b), k(w) == w)) & ((W(v, u, w)) | (W(z, a, y))))","Q of a and h(z, u) equals c or not (U of b and c and y) and T of w and b if and only if k(w) equals w and W of v and u and w or W of z and a and y."
"(Equivalent(Implies(m(x, z) == c, k(w, z) == b), Implies(m(u, c) == v, T(u, b)))) | ((Equivalent(h(c) == a, g(x, v) == y)) | ((g(c) == v) & (S(u))))","If m(x, z) equals c, then k(w, z) equals b if and only if If m(u, c) equals v, then T of u and b or h(c) equals a if and only if g(x, v) equals y or g(c) equals v and S of u."
"Implies(((R(a)) & (k(v) == w)) & (Implies(S(c, x, y), g(a) == b)), ~((T(b, c)) & (W(v, u, a))))","If R of a and k(v) equals w and If S of c and x and y, then g(a) equals b, then not (T of b and c and W of v and u and a)."
"Exists(y, (Equivalent(~(h(z) == a), (Q(z, c)) | (h(x) == v))) & ((Equivalent(m(v) == w, Q(b, v, y))) | ((f(w, u) == u) | (g(w, a) == c))))","There exists an y such that not (h(z) equals a) if and only if Q of z and c or h(x) equals v and m(v) equals w if and only if Q of b and v and y or f(w, u) equals u or g(w, a) equals c."
"Exists(y, S(c, z, y))",There exists an y such that S of c and z and y.
"ForAll(u, (f(x, b) == z) & (m(c) == b))","For all u, f(x, b) equals z and m(c) equals b."
"ForAll(v, ForAll(b, U(y, x)))","For all v, For all b, U of y and x."
"ForAll(a, (~(Equivalent(h(b, a) == a, U(y, z, v)))) & (Equivalent(Equivalent(P(v), m(c, a) == u), (g(x) == a) & (Q(y)))))","For all a, not (h(b, a) equals a if and only if U of y and z and v) and P of v if and only if m(c, a) equals u if and only if g(x) equals a and Q of y."
"Exists(v, Equivalent((Equivalent(T(u), m(u, v) == z)) | (Equivalent(R(a, b, x), k(a, c) == z)), ((R(b, x)) | (k(a) == u)) | ((U(y, u)) | (V(x, y)))))","There exists an v such that T of u if and only if m(u, v) equals z or R of a and b and x if and only if k(a, c) equals z if and only if R of b and x or k(a) equals u or U of y and u or V of x and y."
"ForAll(c, ForAll(a, Q(b)))","For all c, For all a, Q of b."
"Exists(v, ((h(w, b) == b) & (h(w) == w)) | (Equivalent(R(x, v, b), h(u) == w)))","There exists an v such that h(w, b) equals b and h(w) equals w or R of x and v and b if and only if h(u) equals w."
"(Equivalent((U(z, c, w)) & (g(c) == x), Equivalent(g(y) == z, W(w, x, v)))) | (~((f(c) == v) | (V(z, y, x))))",U of z and c and w and g(c) equals x if and only if g(y) equals z if and only if W of w and x and v or not (f(c) equals v or V of z and y and x).
"ForAll(v, Equivalent(Equivalent(f(a, b) == u, f(y) == a), (P(z, y, u)) | (h(c) == x)))","For all v, f(a, b) equals u if and only if f(y) equals a if and only if P of z and y and u or h(c) equals x."
"Exists(y, P(u, z))",There exists an y such that P of u and z.
"Exists(u, ((m(a, z) == y) & (V(u))) & (Equivalent(h(v) == b, V(a, z))))","There exists an u such that m(a, z) equals y and V of u and h(v) equals b if and only if V of a and z."
"Exists(w, R(a, z))",There exists an w such that R of a and z.
"Exists(y, T(b))",There exists an y such that T of b.
"Exists(a, ~(k(y, x) == y))","There exists an a such that not (k(y, x) equals y)."
"ForAll(z, k(y, u) == c)","For all z, k(y, u) equals c."
"ForAll(v, Implies(Equivalent(V(v), h(y, w) == v), Equivalent(Q(z, v), U(a, w))))","For all v, If V of v if and only if h(y, w) equals v, then Q of z and v if and only if U of a and w."
"ForAll(a, Implies(Equivalent(h(a) == w, m(w) == a), (R(c, x, w)) | (g(v, y) == a)))","For all a, If h(a) equals w if and only if m(w) equals a, then R of c and x and w or g(v, y) equals a."
"ForAll(b, ~(((m(c, x) == w) & (U(z))) | (Equivalent(h(y, x) == y, S(b, w, u)))))","For all b, not (m(c, x) equals w and U of z or h(y, x) equals y if and only if S of b and w and u)."
"Exists(u, k(y) == z)",There exists an u such that k(y) equals z.
"ForAll(b, (~((h(v) == x) | (Q(z, u)))) | ((Equivalent(k(a) == z, k(u) == b)) & (~(T(y)))))","For all b, not (h(v) equals x or Q of z and u) or k(a) equals z if and only if k(u) equals b and not (T of y)."
"Exists(z, k(a, c) == y)","There exists an z such that k(a, c) equals y."
"ForAll(b, ForAll(w, Implies(Equivalent(Q(u, v), U(z)), (V(a, z, u)) | (R(b, v, y)))))","For all b, For all w, If Q of u and v if and only if U of z, then V of a and z and u or R of b and v and y."
"Exists(z, (m(a, b) == a) & (g(x) == u))","There exists an z such that m(a, b) equals a and g(x) equals u."
"Equivalent(((Q(v, w, c)) & (W(c, u, b))) | (Equivalent(P(b, v), f(y, u) == u)), Equivalent(Implies(U(c), m(w) == v), (V(x)) | (g(u) == z)))","Q of v and w and c and W of c and u and b or P of b and v if and only if f(y, u) equals u if and only if If U of c, then m(w) equals v if and only if V of x or g(u) equals z."
"Exists(x, (Implies(Q(a, v, w), k(w, x) == y)) & ((g(u, b) == v) & (h(b) == w)))","There exists an x such that If Q of a and v and w, then k(w, x) equals y and g(u, b) equals v and h(b) equals w."
"ForAll(v, W(x, a))","For all v, W of x and a."
"ForAll(u, (f(v, y) == w) & (T(u, a)))","For all u, f(v, y) equals w and T of u and a."
"ForAll(z, ~(Equivalent((f(w) == y) & (Q(u, a)), (U(w)) | (g(z, c) == y))))","For all z, not (f(w) equals y and Q of u and a if and only if U of w or g(z, c) equals y)."
"Exists(y, Equivalent(((Q(a)) | (k(z, u) == v)) | ((f(u, c) == a) & (W(a))), Implies((U(z, a)) & (h(b) == y), ~(P(a)))))","There exists an y such that Q of a or k(z, u) equals v or f(u, c) equals a and W of a if and only if If U of z and a and h(b) equals y, then not (P of a)."
"Exists(y, (f(z) == c) & (m(v) == a))",There exists an y such that f(z) equals c and m(v) equals a.
"ForAll(x, (~(Implies(P(z), W(w)))) & ((~(f(w) == a)) & (Implies(m(b) == b, R(w, z)))))","For all x, not (If P of z, then W of w) and not (f(w) equals a) and If m(b) equals b, then R of w and z."
"ForAll(z, W(w))","For all z, W of w."
"ForAll(z, Exists(y, g(u, a) == w))","For all z, There exists an y such that g(u, a) equals w."
"Exists(u, Implies(Q(b, v), h(c) == b))","There exists an u such that If Q of b and v, then h(c) equals b."
"Exists(b, Exists(w, Implies(Equivalent(Implies(S(z, x, u), U(x)), ~(h(u) == c)), Implies(~(T(y, x, c)), Implies(h(y, c) == c, f(a) == z)))))","There exists an b such that There exists an w such that If If S of z and x and u, then U of x if and only if not (h(u) equals c), then If not (T of y and x and c), then If h(y, c) equals c, then f(a) equals z."
"ForAll(v, Exists(c, ((Q(z, y, b)) | (k(a, y) == c)) | ((h(y) == z) & (U(z)))))","For all v, There exists an c such that Q of z and y and b or k(a, y) equals c or h(y) equals z and U of z."
((k(y) == b) | (P(x))) & (~(h(v) == y)),k(y) equals b or P of x and not (h(v) equals y).
"Exists(c, Exists(x, (~(Implies(f(b) == x, k(x, a) == a))) & (((k(x) == u) | (k(x, y) == v)) | (Implies(P(a, w, u), h(a, v) == z)))))","There exists an c such that There exists an x such that not (If f(b) equals x, then k(x, a) equals a) and k(x) equals u or k(x, y) equals v or If P of a and w and u, then h(a, v) equals z."
"ForAll(c, ((S(u)) | (m(u) == a)) | ((h(w) == z) & (m(z, b) == x)))","For all c, S of u or m(u) equals a or h(w) equals z and m(z, b) equals x."
"Exists(u, ~((Implies(R(w, x), R(y))) | (Implies(k(w) == v, V(b)))))","There exists an u such that not (If R of w and x, then R of y or If k(w) equals v, then V of b)."
"ForAll(u, (g(x) == a) | (U(u, y, c)))","For all u, g(x) equals a or U of u and y and c."
"ForAll(z, Equivalent(Implies(U(b, x, z), Q(w)), (V(b)) & (g(b, a) == w)))","For all z, If U of b and x and z, then Q of w if and only if V of b and g(b, a) equals w."
"ForAll(x, ~(Implies(Equivalent(h(y) == w, g(c) == y), Implies(g(z, x) == y, V(c)))))","For all x, not (If h(y) equals w if and only if g(c) equals y, then If g(z, x) equals y, then V of c)."
"((Implies(f(y, v) == b, S(z))) | (Implies(f(a, b) == b, V(z, w, u)))) | ((Equivalent(h(v) == x, U(c))) & (Equivalent(P(a, c, v), m(b) == v)))","If f(y, v) equals b, then S of z or If f(a, b) equals b, then V of z and w and u or h(v) equals x if and only if U of c and P of a and c and v if and only if m(b) equals v."
"Exists(x, Implies(Equivalent(Implies(P(a), V(u, z, a)), (V(c)) & (m(v, b) == x)), ~((Q(v)) | (k(a, b) == b))))","There exists an x such that If If P of a, then V of u and z and a if and only if V of c and m(v, b) equals x, then not (Q of v or k(a, b) equals b)."
"Exists(w, Equivalent((Equivalent(h(x, w) == v, k(u) == z)) | (Equivalent(h(y, u) == b, k(x, z) == y)), ((S(u)) & (P(b))) | (Equivalent(U(b, a), P(u, w, c)))))","There exists an w such that h(x, w) equals v if and only if k(u) equals z or h(y, u) equals b if and only if k(x, z) equals y if and only if S of u and P of b or U of b and a if and only if P of u and w and c."
"ForAll(x, Implies(f(x, a) == x, S(u)))","For all x, If f(x, a) equals x, then S of u."
"ForAll(w, Implies(Implies(Equivalent(T(v), k(w, b) == v), Implies(m(x) == c, h(b) == y)), (Implies(g(c) == u, h(x) == b)) | (Equivalent(k(u) == w, h(z, c) == v))))","For all w, If If T of v if and only if k(w, b) equals v, then If m(x) equals c, then h(b) equals y, then If g(c) equals u, then h(x) equals b or k(u) equals w if and only if h(z, c) equals v."
"Exists(w, S(v, a))",There exists an w such that S of v and a.
"ForAll(w, Implies((P(y, b)) & (Q(a, v, u)), Equivalent(S(w), m(z, w) == z)))","For all w, If P of y and b and Q of a and v and u, then S of w if and only if m(z, w) equals z."
"ForAll(b, T(u, z))","For all b, T of u and z."
"ForAll(c, Exists(x, V(a, c, u)))","For all c, There exists an x such that V of a and c and u."
"(S(x, c)) | (U(v))",S of x and c or U of v.
"ForAll(x, Implies((h(c, w) == a) | (k(u, z) == a), Equivalent(P(c), U(x))))","For all x, If h(c, w) equals a or k(u, z) equals a, then P of c if and only if U of x."
"ForAll(c, Q(a))","For all c, Q of a."
"Exists(v, (Implies(V(y, v), Q(c, y))) | (~(S(u, v))))","There exists an v such that If V of y and v, then Q of c and y or not (S of u and v)."
"ForAll(b, ~(g(w, u) == x))","For all b, not (g(w, u) equals x)."
"Exists(a, Implies(Q(v, u, b), h(x, y) == z))","There exists an a such that If Q of v and u and b, then h(x, y) equals z."
"ForAll(w, P(z))","For all w, P of z."
"Exists(w, Exists(z, Equivalent((f(w, z) == y) & (k(a, b) == a), ~(Q(a)))))","There exists an w such that There exists an z such that f(w, z) equals y and k(a, b) equals a if and only if not (Q of a)."
"ForAll(v, W(y, a))","For all v, W of y and a."
"~((U(c, y, u)) & (U(a, z)))",not (U of c and y and u and U of a and z).
"ForAll(y, Equivalent(k(y) == b, T(x, u)))","For all y, k(y) equals b if and only if T of x and u."
"Exists(b, ((~(k(y, b) == x)) | ((P(y, v, b)) & (W(w, c, a)))) & (((h(y, c) == u) | (h(c, w) == y)) & (Equivalent(f(u, c) == y, S(w, y)))))","There exists an b such that not (k(y, b) equals x) or P of y and v and b and W of w and c and a and h(y, c) equals u or h(c, w) equals y and f(u, c) equals y if and only if S of w and y."
"Exists(c, Equivalent(P(c, a, b), m(z) == z))",There exists an c such that P of c and a and b if and only if m(z) equals z.
"Exists(x, (Implies(Implies(V(w, v), g(a) == c), (S(v)) & (g(c) == c))) | (Equivalent((m(a, x) == c) | (R(x, c)), (T(z, x)) | (g(w) == b))))","There exists an x such that If If V of w and v, then g(a) equals c, then S of v and g(c) equals c or m(a, x) equals c or R of x and c if and only if T of z and x or g(w) equals b."
"Exists(y, Equivalent((Equivalent(m(x) == v, g(c, u) == u)) | (Implies(R(c), P(a, v))), (Implies(W(z, x), P(v, b))) | (~(m(z) == c))))","There exists an y such that m(x) equals v if and only if g(c, u) equals u or If R of c, then P of a and v if and only if If W of z and x, then P of v and b or not (m(z) equals c)."
"Exists(b, Implies((h(v, u) == c) | (U(b)), (U(a)) & (T(c, v))))","There exists an b such that If h(v, u) equals c or U of b, then U of a and T of c and v."
"ForAll(u, ForAll(y, g(c, y) == y))","For all u, For all y, g(c, y) equals y."
"Exists(c, (((f(x) == b) | (Q(x))) & ((S(v, a, u)) & (k(w, x) == a))) & (((Q(v, c)) & (W(a, c))) & ((V(c)) & (g(w, x) == c))))","There exists an c such that f(x) equals b or Q of x and S of v and a and u and k(w, x) equals a and Q of v and c and W of a and c and V of c and g(w, x) equals c."
"g(u, a) == c","g(u, a) equals c."
"Exists(w, (g(z) == x) | (Q(v, y)))",There exists an w such that g(z) equals x or Q of v and y.
"~(Equivalent(Q(u, w), k(v, z) == w))","not (Q of u and w if and only if k(v, z) equals w)."
"Exists(z, (Implies(h(z, w) == b, h(b, y) == z)) & ((S(v, y, w)) | (P(a))))","There exists an z such that If h(z, w) equals b, then h(b, y) equals z and S of v and y and w or P of a."
"Exists(a, ((g(c, y) == a) | (S(z, c, u))) | ((W(w, x, y)) & (g(v) == w)))","There exists an a such that g(c, y) equals a or S of z and c and u or W of w and x and y and g(v) equals w."
"((~(f(v, z) == a)) | (Equivalent(T(a, u, v), h(b, c) == x))) | (((g(z) == z) & (S(a, w, b))) & ((k(z) == a) | (R(z))))","not (f(v, z) equals a) or T of a and u and v if and only if h(b, c) equals x or g(z) equals z and S of a and w and b and k(z) equals a or R of z."
"((m(v) == y) | (m(b, z) == u)) & ((T(z, w, u)) | (V(a)))","m(v) equals y or m(b, z) equals u and T of z and w and u or V of a."
"Exists(v, (Equivalent((Q(y, b, w)) & (P(a, c, z)), Implies(g(a, w) == y, W(u, y)))) | (Equivalent(~(Q(c, x, u)), Equivalent(k(y, z) == a, m(w, v) == a))))","There exists an v such that Q of y and b and w and P of a and c and z if and only if If g(a, w) equals y, then W of u and y or not (Q of c and x and u) if and only if k(y, z) equals a if and only if m(w, v) equals a."
"Exists(c, ((g(u) == b) & (V(w))) & ((R(b)) & (f(v) == u)))",There exists an c such that g(u) equals b and V of w and R of b and f(v) equals u.
"Exists(w, ((W(b, x, y)) | (g(c) == c)) & ((g(z) == y) & (h(a, u) == c)))","There exists an w such that W of b and x and y or g(c) equals c and g(z) equals y and h(a, u) equals c."
"ForAll(u, Equivalent((k(v) == z) & (Q(c, v, z)), (m(b, a) == b) & (k(x, b) == y)))","For all u, k(v) equals z and Q of c and v and z if and only if m(b, a) equals b and k(x, b) equals y."
"Implies(Implies(T(u, v, x), h(c) == z), (g(b) == u) | (S(u, c)))","If If T of u and v and x, then h(c) equals z, then g(b) equals u or S of u and c."
"ForAll(b, W(x))","For all b, W of x."
"Implies((k(c) == v) & (R(x, a, u)), Implies(g(y, b) == w, S(a, y, z)))","If k(c) equals v and R of x and a and u, then If g(y, b) equals w, then S of a and y and z."
"ForAll(c, ((h(b) == a) | (h(a, v) == b)) | ((T(u)) & (k(z) == z)))","For all c, h(b) equals a or h(a, v) equals b or T of u and k(z) equals z."
"Exists(b, Implies(Implies(Q(z, x), W(y, b)), Implies(m(w, x) == a, m(c) == z)))","There exists an b such that If If Q of z and x, then W of y and b, then If m(w, x) equals a, then m(c) equals z."
"Exists(y, m(b, z) == z)","There exists an y such that m(b, z) equals z."
"Exists(a, S(w, c))",There exists an a such that S of w and c.
"ForAll(y, ((m(a, z) == z) | (S(v, y, b))) & ((W(c)) & (V(c))))","For all y, m(a, z) equals z or S of v and y and b and W of c and V of c."
"ForAll(a, Equivalent(Implies(Implies(R(x), U(w, b, u)), Implies(R(b, a, v), h(c, u) == y)), Equivalent((R(w)) & (k(b) == b), (m(x) == c) | (V(a, u)))))","For all a, If If R of x, then U of w and b and u, then If R of b and a and v, then h(c, u) equals y if and only if R of w and k(b) equals b if and only if m(x) equals c or V of a and u."
"Exists(u, Implies(h(a, u) == y, Q(b, c)))","There exists an u such that If h(a, u) equals y, then Q of b and c."
"Exists(x, ~(~(Q(v))))",There exists an x such that not (not (Q of v)).
"Exists(w, ~(S(w, a)))",There exists an w such that not (S of w and a).
"ForAll(c, Equivalent(~(~(T(a))), ~((V(x, y)) | (W(u, x)))))","For all c, not (not (T of a)) if and only if not (V of x and y or W of u and x)."
"Exists(w, (h(x) == c) & (k(u, w) == x))","There exists an w such that h(x) equals c and k(u, w) equals x."
"Q(a, u)",Q of a and u.
m(w) == y,m(w) equals y.
f(w) == z,f(w) equals z.
"Exists(u, Implies(k(x) == a, P(b, c)))","There exists an u such that If k(x) equals a, then P of b and c."
"ForAll(w, Equivalent(k(c, z) == y, h(c, w) == b))","For all w, k(c, z) equals y if and only if h(c, w) equals b."
"Implies(V(u, b, a), T(w, a, c))","If V of u and b and a, then T of w and a and c."
"Exists(u, R(x))",There exists an u such that R of x.
"ForAll(x, V(b, v, x))","For all x, V of b and v and x."
"ForAll(c, ForAll(y, (P(w, a)) & (f(c, x) == y)))","For all c, For all y, P of w and a and f(c, x) equals y."
"Implies(Implies(Implies(V(y, w, b), k(z) == z), Implies(h(c, w) == w, h(c) == u)), Implies(Implies(f(v) == x, f(u, c) == w), (P(b)) | (g(v) == w)))","If If If V of y and w and b, then k(z) equals z, then If h(c, w) equals w, then h(c) equals u, then If If f(v) equals x, then f(u, c) equals w, then P of b or g(v) equals w."
"Exists(z, Equivalent(Equivalent(~(k(b) == y), ~(f(w) == w)), (~(P(a, x, z))) | ((m(w) == c) & (V(b)))))",There exists an z such that not (k(b) equals y) if and only if not (f(w) equals w) if and only if not (P of a and x and z) or m(w) equals c and V of b.
"Exists(a, Equivalent(m(c) == a, V(z, c)))",There exists an a such that m(c) equals a if and only if V of z and c.
